id,manifest,num,pages
1070369,https://www.digital.archives.go.jp/api/iiif/1070369/manifest.json,372-0006,389
1077899,https://www.digital.archives.go.jp/api/iiif/1077899/manifest.json,367-0094,315
1070184,https://www.digital.archives.go.jp/api/iiif/1070184/manifest.json,289-0018,244
4417722,https://www.digital.archives.go.jp/api/iiif/4417722/manifest.json,236-0010,233
5055297,https://www.digital.archives.go.jp/api/iiif/5055297/manifest.json,310-0181,225
1075951,https://www.digital.archives.go.jp/api/iiif/1075951/manifest.json,307-0149,221
5055291,https://www.digital.archives.go.jp/api/iiif/5055291/manifest.json,310-0181,216
1078050,https://www.digital.archives.go.jp/api/iiif/1078050/manifest.json,309-0138,210
4226993,https://www.digital.archives.go.jp/api/iiif/4226993/manifest.json,301-0078,207
1070738,https://www.digital.archives.go.jp/api/iiif/1070738/manifest.json,273-0084,205
4487173,https://www.digital.archives.go.jp/api/iiif/4487173/manifest.json,135-0011,202
5390235,https://www.digital.archives.go.jp/api/iiif/5390235/manifest.json,367-0046,200
4226987,https://www.digital.archives.go.jp/api/iiif/4226987/manifest.json,301-0078,197
5389673,https://www.digital.archives.go.jp/api/iiif/5389673/manifest.json,367-0008,194
4917978,https://www.digital.archives.go.jp/api/iiif/4917978/manifest.json,304-0302,191
4495578,https://www.digital.archives.go.jp/api/iiif/4495578/manifest.json,133-0001,190
4435316,https://www.digital.archives.go.jp/api/iiif/4435316/manifest.json,192-0010,188
3005814,https://www.digital.archives.go.jp/api/iiif/3005814/manifest.json,046-0005,185
1077085,https://www.digital.archives.go.jp/api/iiif/1077085/manifest.json,305-0117,182
1070497,https://www.digital.archives.go.jp/api/iiif/1070497/manifest.json,278-0233,179
4500865,https://www.digital.archives.go.jp/api/iiif/4500865/manifest.json,188-0001,177
1076814,https://www.digital.archives.go.jp/api/iiif/1076814/manifest.json,009-0009,176
4758366,https://www.digital.archives.go.jp/api/iiif/4758366/manifest.json,126-0003,175
4262751,https://www.digital.archives.go.jp/api/iiif/4262751/manifest.json,370-0012,174
4262741,https://www.digital.archives.go.jp/api/iiif/4262741/manifest.json,370-0012,172
4920079,https://www.digital.archives.go.jp/api/iiif/4920079/manifest.json,307-0047,171
5390236,https://www.digital.archives.go.jp/api/iiif/5390236/manifest.json,367-0046,170
